Sno,temp,hum,soil,ir,ultrasonic,cdate
106,nan,nan,-50,1,7,2022-11-02 09:02:13.903392
107,nan,nan,-51,1,7,2022-11-02 09:02:22.511266
108,nan,nan,-51,1,7,2022-11-02 09:02:31.089596
109,nan,nan,33,1,25,2022-11-02 09:02:39.695296
110,nan,nan,24,1,19,2022-11-02 09:02:48.297850
111,nan,nan,12,1,8,2022-11-02 09:02:56.902399
112,nan,nan,-45,1,97,2022-11-02 09:03:05.508218
113,nan,nan,-47,1,16,2022-11-02 09:03:14.094983
114,nan,nan,100,1,127,2022-11-02 09:03:22.756167
115,nan,nan,100,1,76,2022-11-02 09:03:31.708819
116,nan,nan,100,1,11,2022-11-02 09:03:40.526634
117,nan,nan,100,1,8,2022-11-02 09:03:49.123429
118,nan,nan,100,1,9,2022-11-02 09:03:57.705631
119,nan,nan,100,1,8,2022-11-02 09:04:06.565749
120,nan,nan,100,1,30,2022-11-02 09:04:15.327695
121,nan,nan,100,1,125,2022-11-02 09:04:23.936274
122,nan,nan,100,1,10,2022-11-02 09:04:32.937419
123,nan,nan,100,1,138,2022-11-02 09:04:41.545406
124,nan,nan,100,1,11,2022-11-02 09:04:50.152820
125,nan,nan,100,1,34,2022-11-02 09:04:58.762018
126,nan,nan,100,1,30,2022-11-02 09:05:07.390597
127,nan,nan,100,1,125,2022-11-02 09:05:16.068103
128,nan,nan,100,1,130,2022-11-02 09:05:25.445613
129,nan,nan,100,1,23,2022-11-02 09:05:34.049631
130,nan,nan,100,1,124,2022-11-02 09:05:42.657475
131,nan,nan,100,1,1203,2022-11-02 09:05:51.318770
132,nan,nan,100,1,14,2022-11-02 09:06:00.207927
133,nan,nan,100,1,125,2022-11-02 09:06:08.862818
134,nan,nan,100,1,18,2022-11-02 09:06:17.465284
135,nan,nan,100,1,10,2022-11-02 09:06:26.062729
136,nan,nan,100,1,5,2022-11-02 09:06:34.669375
137,nan,nan,100,1,124,2022-11-02 09:06:43.236122
138,nan,nan,100,1,44,2022-11-02 09:06:51.836302
139,nan,nan,100,1,5,2022-11-02 09:07:00.462153
140,nan,nan,100,1,29,2022-11-02 09:07:09.069221
141,nan,nan,100,1,18,2022-11-02 09:07:17.661681
142,nan,nan,100,1,13,2022-11-02 09:07:26.260154
143,nan,nan,100,1,13,2022-11-02 09:07:34.868605
144,nan,nan,100,1,5,2022-11-02 09:07:43.451212
145,nan,nan,100,1,6,2022-11-02 09:07:52.841604
146,nan,nan,100,1,41,2022-11-02 09:08:02.059494
147,nan,nan,100,1,3,2022-11-02 09:08:10.671481
148,nan,nan,100,1,4,2022-11-02 09:08:19.291110
149,12,45,78,67,5,2022-11-02 09:08:20.582010
150,12,45,78,67,5,2022-11-02 09:08:22.510394
151,12,45,78,67,5,2022-11-02 09:08:23.560762
152,12,45,78,67,5,2022-11-02 09:08:23.776247
153,nan,nan,100,1,4,2022-11-02 09:08:28.177471
154,nan,nan,100,1,4,2022-11-02 09:08:37.066579
155,nan,nan,100,1,3,2022-11-02 09:08:45.665968
156,1,56,54,67,90,2022-11-02 09:09:27.035898
157,1,56,54,67,90,2022-11-02 09:09:38.451804
158,1,56,54,67,90,2022-11-02 09:09:40.727969
159,1,56,54,67,90,2022-11-02 09:09:49.673042
160,nan,nan,100,1,1203,2022-11-02 09:10:13.937867
161,nan,nan,100,1,1203,2022-11-02 09:10:22.614311
162,nan,nan,100,1,138,2022-11-02 09:10:31.538868
163,nan,nan,100,1,137,2022-11-02 09:10:40.147501
164,nan,nan,100,1,246,2022-11-02 09:10:48.757139
165,nan,nan,100,1,229,2022-11-02 09:10:57.380912
166,nan,nan,100,1,1203,2022-11-02 09:11:06.052734
167,nan,nan,100,1,225,2022-11-02 09:11:14.657700
168,nan,nan,100,1,139,2022-11-02 09:11:23.574029
169,nan,nan,100,1,176,2022-11-02 09:11:32.205790
170,nan,nan,100,1,78,2022-11-02 09:11:41.392242
171,nan,nan,100,1,245,2022-11-02 09:11:50.001884
172,nan,nan,100,1,95,2022-11-02 09:11:58.624743
173,nan,nan,100,1,1203,2022-11-02 09:12:07.332698
174,nan,nan,100,1,244,2022-11-02 09:12:15.957450
175,nan,nan,100,1,75,2022-11-02 09:12:24.596752
176,nan,nan,100,1,228,2022-11-02 09:12:33.206817
177,nan,nan,100,1,294,2022-11-02 09:12:41.820319
178,nan,nan,100,1,87,2022-11-02 09:12:50.429569
179,nan,nan,100,1,1203,2022-11-02 09:12:59.099243
180,nan,nan,100,1,139,2022-11-02 09:13:08.027375
181,nan,nan,100,1,125,2022-11-02 09:13:16.630099
182,nan,nan,100,1,247,2022-11-02 09:13:25.242336
183,nan,nan,100,1,75,2022-11-02 09:13:34.223431
184,nan,nan,100,1,229,2022-11-02 09:13:42.863211
185,nan,nan,100,1,72,2022-11-02 09:13:51.863236
186,nan,nan,100,1,169,2022-11-02 09:14:00.467430
187,78,78,78,78,78,2022-11-02 09:14:37.811096
188,78,78,78,78,78,2022-11-02 09:14:40.620755
